Benefit,Coverage
Annual Limit,"AED 4,000,000"
Network,MedNet Gold
Pre-existing and Chronic Conditions,"AED 150,000"
Area of Coverage,Worldwide excl. USA
Deductible / Excess on Consultation,Nil
Co-Payment on Out Patient,Nil
Co-Payment on Pharmacy,Nil
Pharmaceuticals/Drugs Sublimit,Nil
Hospital Accommodation,100% in Private room
Hospital Charges,Covered
Health Check,"AED 1,500"
Health Check - Co-Payment,Nil
Dental,"AED 5,000"
Dental - Co-Payment,20%
Dental - Major,Not Covered
Alternative Medicine,"AED 5,000"
Alternative Medicine - Co-Payment,Nil
Maternity Limit,"AED 25,000"
Maternity Co-Pay OP,Nil
Maternity Co-Pay IP,Nil
Psychiatry,"AED 10,000"
Psychiatry - Co-Payment,20%
Optical,Covered within the applicable sublimit
Optical - Lenses,"AED 2,000"
Optical - Frames & Contact Lenses,AED 500
Optical - Co-Payment,20%
Outpatient Physiotherapy,15 Sessions pppa
